period,vector,value
1951,S01,-0.002384926981963935
1952,S01,0.008177680140025621
1953,S01,0.023380823733747738
1954,S01,0.003559623171006592
1955,S01,-0.007399283765579573
1956,S01,0.010921684495727179
1957,S01,0.0339892813310894
1958,S01,0.026946627878304482
1959,S01,0.03258814028890269
1960,S01,0.03391252095979048
1961,S01,0.028088667299720003
1962,S01,0.025957647291760613
1963,S01,0.03609778011848056
1964,S01,0.013546512648788969
1965,S01,0.032033286967398954
1966,S01,0.014916373480704318
1967,S01,0.03063492849861616
1968,S01,0.02300673954942796
1969,S01,0.03502936636377863
1970,S01,0.013804326831891613
1971,S01,-0.007336830788458547
1972,S01,0.029550157549169512
1973,S01,0.04925060668011178
1974,S01,-0.0281464543163764
1975,S01,0.02581411640597003
1976,S01,0.033594222917535235
1977,S01,0.025173033875223558
1978,S01,0.05248732815177922
1979,S01,0.054713734109235725
1980,S01,0.026293655151881003
1981,S01,0.02307711459435904
1982,S01,0.02858332189865952
1983,S01,0.06247639752515876
1984,S01,0.04841312582639402
1985,S01,0.03021134079879133
1986,S01,0.035364174397879755
1987,S01,0.043577063950894106
1988,S01,0.047559022886875836
1989,S01,0.05669456731923625
1990,S01,0.05112709955543167
1991,S01,0.05552510380900599
1992,S01,0.03907070956985127
1993,S01,0.03001123992450133
1994,S01,0.028419586850997495
1995,S01,0.04025131312560037
1996,S01,0.036226405416636416
1997,S01,0.027714731773434968
1998,S01,0.03309974007886697
1999,S01,0.03912179463096073
2000,S01,0.03264495360592493
2001,S01,0.01873711138163755
2002,S01,0.0306096387087507
2003,S01,0.028851635842914617
2004,S01,-0.0062774301402829975
2005,S01,-0.004287775566647613
2006,S01,0.009653694835225568
2007,S01,0.05029805604861296
2008,S01,0.007785411200740435
2009,S01,0.06976287573937565
2010,S01,0.052394740332214425
1951,S02,7577.773552947203
1952,S02,8118.3911990498755
1953,S02,8510.236279254474
1954,S02,8785.968011487255
1955,S02,9206.073221760182
1956,S02,9854.72442705193
1957,S02,10343.797758687582
1958,S02,10557.607738910021
1959,S02,10776.639694729593
1960,S02,11032.137384742751
1961,S02,11259.014862224769
1962,S02,11532.130872501433
1963,S02,11888.890267073071
1964,S02,12149.727662848973
1965,S02,12726.704586833484
1966,S02,13164.08931444792
1967,S02,13879.019465935526
1968,S02,14322.246127861084
1969,S02,14907.185670692545
1970,S02,15345.4428859634
1971,S02,16017.852229307286
1972,S02,17126.683630548683
1973,S02,17738.88004017478
1974,S02,18105.870235541686
1975,S02,19755.272250137838
1976,S02,20208.713774126983
1977,S02,20685.415502713586
1978,S02,21507.2870878785
1979,S02,21890.787659137568
1980,S02,22223.29254913767
1981,S02,22949.059369266182
1982,S02,23837.290046055103
1983,S02,24362.703482572182
1984,S02,24116.194638992096
1985,S02,24542.90565084138
1986,S02,25342.283080720164
1987,S02,25979.200651921605
1988,S02,26402.376346328685
1989,S02,26710.68124680125
1990,S02,26785.033008328228
1991,S02,26899.092976778174
1992,S02,26732.515506279527
1993,S02,27075.32594278142
1994,S02,27748.03383599161
1995,S02,28625.58848210517
1996,S02,29162.945577933468
1997,S02,29885.989651425807
1998,S02,31004.73638788258
1999,S02,32064.37581802279
2000,S02,33027.730011388354
2001,S02,34265.61217139641
2002,S02,35735.720697203455
2003,S02,36702.31241833018
2004,S02,37759.26975335265
2005,S02,40341.56463110357
2006,S02,43017.624456876
2007,S02,45199.6490274796
2008,S02,45416.90881634639
2009,S02,47244.763968864005
2010,S02,45573.30268000001
2011,S02,44977.7
1959,S03,140.43
1960,S03,140.31
1961,S03,143.05
1962,S03,146.49
1963,S03,150.96
1964,S03,156.75
1965,S03,163.43
1966,S03,170.97
1967,S03,177.7
1968,S03,190.08
1969,S03,201.39
1970,S03,209.09
1971,S03,223.13
1972,S03,239.03
1973,S03,256.31
1974,S03,269.14
1975,S03,281.33
1976,S03,297.19
1977,S03,319.88
1978,S03,346.15
1979,S03,372.56
1980,S03,395.68
1981,S03,424.97
1982,S03,452.98
1983,S03,503.17
1984,S03,538.64
1985,S03,586.95
1986,S03,666.26
1987,S03,743.56
1988,S03,774.76
1989,S03,782.15
1990,S03,810.57
1991,S03,858.98
1992,S03,965.86
1993,S03,1078.41
1994,S03,1145.22
1995,S03,1143.01
1996,S03,1106.83
1997,S03,1070.22
1998,S03,1080.65
1999,S03,1102.24
2000,S03,1103.68
2001,S03,1140.22
2002,S03,1196.73
2003,S03,1273.8
2004,S03,1344.28
2005,S03,1371.71
2006,S03,1374.58
2007,S03,1372.41
2008,S03,1434.28
2009,S03,1637.15
2010,S03,1741.69
2011,S03,2009.43
1951,S04,2945.1759066609234
1952,S04,3040.4720044105475
1953,S04,3192.495916053033
1954,S04,3191.5414739970893
1955,S04,3489.086606711704
1956,S04,3624.9738999180167
1957,S04,3697.879629811479
1958,S04,3647.2303576003856
1959,S04,3915.2651099756263
1960,S04,4009.747372318293
1961,S04,4105.9718166812045
1962,S04,4361.878625782428
1963,S04,4544.5838429635805
1964,S04,4819.7987069981955
1965,S04,5141.156827364732
1966,S04,5467.04969314632
1967,S04,5621.026518486221
1968,S04,5892.100170530416
1969,S04,6045.163161371674
1970,S04,6024.339590326603
1971,S04,6268.2905785870125
1972,S04,6668.277557481352
1973,S04,7014.060436377928
1974,S04,6852.88313852157
1975,S04,6853.912669276066
1976,S04,7220.903014309903
1977,S04,7543.826036011
1978,S04,7920.211777898745
1979,S04,7954.472450113781
1980,S04,7620.874982319532
1981,S04,7745.0505494739855
1982,S04,7590.5633133156325
1983,S04,7989.869056431303
1984,S04,8519.362070781499
1985,S04,8827.14109159953
1986,S04,9159.943009710285
1987,S04,9383.942617616758
1988,S04,9708.987109987444
1989,S04,9954.765980250251
1990,S04,9994.248145121956
1991,S04,9903.47674243501
1992,S04,10173.999561674247
1993,S04,10388.023189850372
1994,S04,10758.180488372747
1995,S04,10950.777048955495
1996,S04,11247.14626180252
1997,S04,11682.453950878938
1998,S04,12140.758148020872
1999,S04,12637.168936272576
2000,S04,13005.518170636722
2001,S04,13072.96930097391
2002,S04,13313.854730469047
2003,S04,13629.84793249872
2004,S04,14121.260902145612
2005,S04,14545.151450381038
2006,S04,14930.449735473701
2007,S04,15223.720488812029
2008,S04,14933.949772308335
2009,S04,14651.679330288
2010,S04,14957.06524
2011,S04,15075.7
